year,dropout_intercept,dropout_gamma_log1p_q,dropout_delta_log1p_active_run_excess,dropout_scholar_coef_per_tau,pred_drop_q50_active_run1_u_low,pred_drop_q50_active_run1_u_mid,pred_drop_q50_active_run1_u_high,pred_drop_q50_active_run2,pred_drop_q50_active_run5,pred_drop_q50_active_run10,restart_intercept,restart_rho_zero_run_excess,restart_scholar_coef_per_tau,pred_restart_run1_u_low,pred_restart_run1_u_mid,pred_restart_run1_u_high,pred_restart_run2_u_mid,pred_restart_run3_u_mid,pred_restart_run5_u_mid
0,-0.9454179504754185,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.21387962090613843,0.14499739035578527,0.09560155324411225,0.08167769544856164,0.03651225948268448,0.019487725253834225,0.5606123528416403,0.2908537554047681,0.23723848643029716,0.5801462684716941,0.6365942150709533,0.6895145672092502,0.5670336400285557,0.4947264060715175,0.3537027493966612
1,-0.960775792942611,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.2113087754053329,0.1431037915519182,0.09428190691099618,0.08053313397675967,0.0359758132461251,0.01919642373278621,0.9684947220665319,0.2908537554047681,0.23723848643029716,0.6750808842859677,0.7248193623186983,0.7695431188922456,0.6632119823979375,0.5955090471604879,0.4514236283860402
2,-1.138482284167226,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.18320821282738975,0.12266271107320295,0.08016219842699498,0.06831713956222167,0.030295975397632454,0.016121403626037357,0.8735596660407591,0.2908537554047681,0.23723848643029716,0.6539213854599781,0.7054858502331246,0.7522778817859311,0.6416897983799951,0.5724495106113433,0.4280392787864754
3,-0.8144337052964056,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.23672624744372053,0.16200233963164493,0.10754212229735274,0.09205620027297251,0.04141054061156081,0.022154606584025256,0.8683036835548521,0.2908537554047681,0.23723848643029716,0.6527309531581796,0.704392607282175,0.7512971003681321,0.6404804239973798,0.5711626162040926,0.42675298992458677
4,-0.7097200796865821,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.25616476021450124,0.17672565916378222,0.11801294211218889,0.10119019418201118,0.04577271078177448,0.024540292399360113,0.7348726096067703,0.2908537554047681,0.23723848643029716,0.6219031804950923,0.675873621132755,0.7255400839706634,0.6092162255124846,0.5382165918987836,0.3944744437799288
5,-0.5329414333147425,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.29127080176356385,0.2039296858182398,0.13769066665054175,0.1184395421573685,0.05414441007644127,0.029147260929310023,0.6282846585662709,0.2908537554047681,0.23723848643029716,0.5965345185520715,0.6521004120615314,0.7038133045039873,0.5835663239306745,0.5116421822729847,0.3693211092747432
6,-0.439023492145309,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.3110313327449064,0.21960078507517788,0.14922575759625567,0.12860238649136296,0.059160569421986546,0.03192574943720539,0.8074795691881176,0.2908537554047681,0.23723848643029716,0.6388188018758787,0.6915721558747727,0.7397593316858466,0.6263584308323176,0.5562044745114584,0.41194383315222927
7,-0.1795705404310891,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.36915369433406714,0.2672654047135059,0.185241171801668,0.1605798466354011,0.07536442965655303,0.04099512656953443,0.8282672810568356,0.2908537554047681,0.23723848643029716,0.6436011641218563,0.6959884309132842,0.7437412979550629,0.6312105330178399,0.5613295627652253,0.41698862828145195
8,-0.29610805323373485,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.3424519016844015,0.24507041932762283,0.16829337077045126,0.14548543524655186,0.06763480969526556,0.03665080821668875,0.8052999963763703,0.2908537554047681,0.23723848643029716,0.6383157584744785,0.6911070587411738,0.7393395109964093,0.625848197356247,0.5556664007527379,0.41141594163836404
9,-0.1853233402500266,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.3678149980319916,0.26614031687061934,0.18437449140032716,0.15980591729103893,0.07496452592100943,0.040769554230629064,0.4961300645431888,0.2908537554047681,0.23723848643029716,0.5643637976571266,0.6215494519384669,0.6755440421906014,0.5511396249368213,0.4786186856776946,0.33910505064836205
10,-0.16214905824241999,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.3732199623023321,0.27069093630957636,0.1878849723400075,0.162942065733119,0.07658745598665888,0.04168554740608737,0.6234229981541363,0.2908537554047681,0.23723848643029716,0.5953638617361836,0.6509966552025107,0.7027988389023938,0.5823843815480421,0.5104273597547921,0.3681894378111993
11,-0.10005385079738725,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.3878562171876377,0.28312262833474144,0.197543813652559,0.17158956305173273,0.08109603231837326,0.044237936929816174,0.6642604101252726,0.2908537554047681,0.23723848643029716,0.6051623075424464,0.6602167801161647,0.711257428906529,0.5922818891263282,0.5206265120516126,0.37773935879304466
12,-0.22961311107977894,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.35757803002749344,0.25758015915525995,0.17780705145550355,0.1539484318459156,0.0719504896675369,0.039072294899661554,0.5440653953895476,0.2908537554047681,0.23723848643029716,0.5761105572527784,0.632757624507144,0.6859610622644031,0.5629668364472488,0.49059058215840196,0.34992938323387135
13,-0.010431122720666135,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.4093362958773183,0.301660755465747,0.21213663172412775,0.1847064180580457,0.08803036717601807,0.04818588862623861,0.5352813003724495,0.2908537554047681,0.23723848643029716,0.5739639968457104,0.6307140468092182,0.6840657219878814,0.560804457948626,0.4883955316650222,0.3479338311897026
14,-0.10753587324946669,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.38608130473723284,0.2816065128361491,0.19636044500775132,0.17052863095634,0.08054022064669276,0.043922666523250824,0.6513438470784395,0.2908537554047681,0.23723848643029716,0.6020718575829712,0.6573132316121909,0.708597529355011,0.5891590662535728,0.5174020524380841,0.37470811951892335
15,-0.005478358450790602,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.4105343111848989,0.3027051362233782,0.21296559056964762,0.18545341958916947,0.0884287922790472,0.04841355123190473,0.7587897836053994,0.2908537554047681,0.23723848643029716,0.6275104398687736,0.6810909250628311,0.7302769728694836,0.6148951257533442,0.5441552429661818,0.4002015857414119
16,-0.10731536269014433,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.38613357202084364,0.28165112521540114,0.1963952445699853,0.17055982413610363,0.08055655173444816,0.04393192745723522,0.6118929949708554,0.2908537554047681,0.23723848643029716,0.5925831911889426,0.6483724987989579,0.7003849191459155,0.5795775018948024,0.5075457980944093,0.365511359319672
17,0.28832540716395505,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.48301822426796454,0.3680374541797316,0.266327185643995,0.23397077514012968,0.1151514455336199,0.06389138294085187,0.46264092963235315,0.2908537554047681,0.23723848643029716,0.5561132364162411,0.6136404907599485,0.6681610366147588,0.5428414880062379,0.4702684713628304,0.33164062402341565
18,-0.02017766849121038,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.40698187427841315,0.29961151074775905,0.21051221634237874,0.18324319425188168,0.08725103991140316,0.047740836333007144,0.4610427692119802,0.2908537554047681,0.23723848643029716,0.5557186931334955,0.6132615208098071,0.6678065943242355,0.5424448540816038,0.46987036297484175,0.33128647894635194
19,-0.025236900046803533,0.43149976442566396,-0.931084632357183,-0.47269217928790636,0.4057614176918883,0.29855093655226567,0.2096726195827261,0.18248721682469923,0.0868489717847976,0.04751136087298556,0.6615288758978292,0.2908537554047681,0.23723848643029716,0.6045094451939318,0.6596037455436072,0.7106961293534648,0.5916221012671042,0.519944752646377,0.37709752004006813
